date,close,congestion
2024-06-14,3032.63,0.4334
2024-06-17,3015.89,0.4141
2024-06-18,3030.25,0.4047
2024-06-19,3018.05,0.4018
2024-06-20,3005.44,0.3718
2024-06-21,2998.14,0.4035
2024-06-24,2963.1,0.3779
2024-06-25,2950.0,0.4027
2024-06-26,2972.53,0.3736
2024-06-27,2945.85,0.3903
2024-06-28,2967.4,0.3984
2024-07-01,2994.73,0.391
2024-07-02,2997.01,0.3899
2024-07-03,2982.38,0.3901
2024-07-04,2957.57,0.3736
2024-07-05,2949.93,0.4151
2024-07-08,2922.45,0.4023
2024-07-09,2959.37,0.412
2024-07-10,2939.36,0.423
2024-07-11,2970.39,0.4082
2024-07-12,2971.3,0.4272
2024-07-15,2974.01,0.4187
2024-07-16,2976.3,0.4612
2024-07-17,2962.85,0.4461
2024-07-18,2977.13,0.4347
2024-07-19,2982.31,0.4496
2024-07-22,2964.22,0.4404
2024-07-23,2915.37,0.4169
2024-07-24,2901.95,0.412
2024-07-25,2886.74,0.4336
2024-07-26,2890.9,0.4266
2024-07-29,2891.85,0.4155
2024-07-30,2879.3,0.4155
2024-07-31,2938.75,0.3982
2024-08-01,2932.39,0.3919
2024-08-02,2905.34,0.4065
2024-08-05,2860.7,0.4057
2024-08-06,2867.28,0.4071
2024-08-07,2869.83,0.4018
2024-08-08,2869.9,0.3887
2024-08-09,2862.19,0.3976
2024-08-12,2858.2,0.3695
2024-08-13,2867.95,0.3929
2024-08-14,2850.65,0.3876
2024-08-15,2877.36,0.3784
2024-08-16,2879.43,0.3829
2024-08-19,2893.67,0.3934
2024-08-20,2866.66,0.3849
2024-08-21,2856.58,0.4063
2024-08-22,2848.77,0.4075
2024-08-23,2854.37,0.4045
2024-08-26,2855.52,0.406
2024-08-27,2848.73,0.3962
2024-08-28,2837.43,0.4
2024-08-29,2823.11,0.4051
2024-08-30,2842.21,0.4021
2024-09-02,2811.04,0.3882
2024-09-03,2802.98,0.3902
2024-09-04,2784.28,0.3998
2024-09-05,2788.31,0.3892
2024-09-06,2765.81,0.3971
2024-09-09,2736.49,0.4169
2024-09-10,2744.19,0.3868
2024-09-11,2721.8,0.4266
2024-09-12,2717.12,0.4106
2024-09-13,2704.09,0.4212
2024-09-18,2717.28,0.3906
2024-09-19,2736.02,0.3978
2024-09-20,2736.81,0.4175
2024-09-24,2863.13,0.4121
2024-09-25,2896.31,0.3966
2024-09-26,3000.95,0.4128
2024-09-27,3087.53,0.4043
2024-09-30,3336.5,0.3643
2024-10-08,3489.78,0.3568
2024-10-09,3258.86,0.4285
2024-10-10,3301.93,0.4356
2024-10-11,3217.74,0.4198
2024-10-14,3284.32,0.4346
2024-10-15,3201.29,0.4404
2024-10-16,3202.95,0.4425
2024-10-17,3169.38,0.4388
2024-10-18,3261.56,0.4366
2024-10-21,3268.11,0.4157
2024-10-22,3285.87,0.4069
2024-10-23,3302.8,0.4087
2024-10-24,3280.26,0.4212
2024-10-25,3299.7,0.3897
2024-10-28,3322.2,0.3652
2024-10-29,3286.41,0.3803
2024-10-30,3266.24,0.3997
2024-10-31,3279.82,0.4161
2024-11-01,3272.01,0.4148
2024-11-04,3310.21,0.4291
2024-11-05,3386.99,0.4157
2024-11-06,3383.81,0.4119
2024-11-07,3470.66,0.411
2024-11-08,3452.3,0.4018
2024-11-11,3470.07,0.4018
2024-11-12,3421.97,0.3945
2024-11-13,3439.28,0.4128
2024-11-14,3379.84,0.4049
2024-11-15,3330.73,0.4146
2024-11-18,3323.85,0.3925
2024-11-19,3346.01,0.4078
2024-11-20,3367.99,0.3818
2024-11-21,3370.4,0.397
2024-11-22,3267.19,0.3794
2024-11-25,3263.76,0.3935
2024-11-26,3259.76,0.3773
2024-11-27,3309.78,0.3809
2024-11-28,3295.7,0.3769
2024-11-29,3326.46,0.3833
2024-12-02,3363.98,0.357
2024-12-03,3378.81,0.3635
2024-12-04,3364.65,0.3741
2024-12-05,3368.86,0.3716
2024-12-06,3404.08,0.3705
2024-12-09,3402.53,0.3567
2024-12-10,3422.66,0.3636
2024-12-11,3432.49,0.3546
2024-12-12,3461.5,0.3412
2024-12-13,3391.88,0.357
2024-12-16,3386.33,0.3586
2024-12-17,3361.49,0.3613
2024-12-18,3382.21,0.3864
2024-12-19,3370.03,0.3993
2024-12-20,3368.07,0.3936
2024-12-23,3351.26,0.3748
2024-12-24,3393.53,0.3894
